Generated Perfect Card Deck:
tank (Blue) - tire (Green)
tank (Blue) - tire (Grey)
tank (Blue) - bottle (Black)
tank (Blue) - bottle (Grey)
tank (Blue) - trash (Black)
tank (Blue) - trash (Green)
tank (Blue) - flower (Green)
tank (Blue) - flower (Grey)
tank (Blue) - bottle (Brown)
tank (Blue) - trash (Brown)
tank (Blue) - flower (Black)
tank (Blue) - tire (Brown)
flower (Brown) - tire (Green)
flower (Brown) - tire (Grey)
flower (Brown) - bottle (Black)
flower (Brown) - bottle (Grey)
flower (Brown) - trash (Black)
flower (Brown) - trash (Green)
flower (Brown) - tank (Green)
flower (Brown) - tank (Grey)
flower (Brown) - bottle (Blue)
flower (Brown) - trash (Blue)
flower (Brown) - tank (Black)
flower (Brown) - tire (Blue)
tire (Black) - flower (Green)
tire (Black) - flower (Grey)
tire (Black) - bottle (Brown)
tire (Black) - bottle (Grey)
tire (Black) - trash (Brown)
tire (Black) - trash (Green)
tire (Black) - tank (Green)
tire (Black) - tank (Grey)
tire (Black) - bottle (Blue)
tire (Black) - trash (Blue)
tire (Black) - tank (Brown)
tire (Black) - flower (Blue)
bottle (Green) - flower (Black)
bottle (Green) - flower (Grey)
bottle (Green) - tire (Brown)
bottle (Green) - tire (Grey)
bottle (Green) - trash (Brown)
bottle (Green) - trash (Black)
bottle (Green) - tank (Black)
bottle (Green) - tank (Grey)
bottle (Green) - tire (Blue)
bottle (Green) - trash (Blue)
bottle (Green) - tank (Brown)
bottle (Green) - flower (Blue)
trash (Grey) - flower (Black)
trash (Grey) - flower (Green)
trash (Grey) - tire (Brown)
trash (Grey) - tire (Green)
trash (Grey) - bottle (Brown)
trash (Grey) - bottle (Black)
trash (Grey) - tank (Black)
trash (Grey) - tank (Green)
trash (Grey) - tire (Blue)
trash (Grey) - bottle (Blue)
trash (Grey) - tank (Brown)
trash (Grey) - flower (Blue)

Generated UN-Perfect Card Deck:
tank (Brown) - tire (Green)
tank (Brown) - tire (Grey)
tank (Brown) - bottle (Black)
tank (Brown) - bottle (Grey)
tank (Brown) - trash (Black)
tank (Brown) - trash (Green)
tank (Black) - flower (Green)
tank (Black) - flower (Grey)
tank (Black) - bottle (Brown)
tank (Black) - bottle (Grey)
tank (Black) - trash (Brown)
tank (Black) - trash (Green)
tank (Green) - flower (Black)
tank (Green) - flower (Grey)
tank (Green) - tire (Brown)
tank (Green) - tire (Grey)
tank (Green) - trash (Brown)
tank (Green) - trash (Black)
tank (Grey) - flower (Black)
tank (Grey) - flower (Green)
tank (Grey) - tire (Brown)
tank (Grey) - tire (Green)
tank (Grey) - bottle (Brown)
tank (Grey) - bottle (Black)
flower (Blue) - tire (Green)
flower (Blue) - tire (Grey)
flower (Blue) - bottle (Black)
flower (Blue) - bottle (Grey)
flower (Blue) - trash (Black)
flower (Blue) - trash (Green)
flower (Black) - bottle (Blue)
flower (Black) - bottle (Grey)
flower (Black) - trash (Blue)
flower (Black) - trash (Green)
flower (Green) - tire (Blue)
flower (Green) - tire (Grey)
flower (Green) - trash (Blue)
flower (Green) - trash (Black)
flower (Grey) - tire (Blue)
flower (Grey) - tire (Green)
flower (Grey) - bottle (Blue)
flower (Grey) - bottle (Black)
tire (Blue) - bottle (Brown)
tire (Blue) - bottle (Grey)
tire (Blue) - trash (Brown)
tire (Blue) - trash (Green)
tire (Brown) - bottle (Blue)
tire (Brown) - bottle (Grey)
tire (Brown) - trash (Blue)
tire (Brown) - trash (Green)
tire (Green) - trash (Blue)
tire (Green) - trash (Brown)
tire (Grey) - bottle (Blue)
tire (Grey) - bottle (Brown)
bottle (Blue) - trash (Brown)
bottle (Blue) - trash (Black)
bottle (Brown) - trash (Blue)
bottle (Brown) - trash (Black)
bottle (Black) - trash (Blue)
bottle (Black) - trash (Brown)
